trip_date,group,period,trips,avg_fare,avg_cbd_fee
2024-02-10,CBD-bound (treated),Pre,67321,23.367317924570393,0.0
2024-02-10,Manhattan control,Pre,34344,22.211808176100774,0.0
2024-02-11,CBD-bound (treated),Pre,52178,23.626625780980657,0.0
2024-02-11,Manhattan control,Pre,32111,23.22585469153885,0.0
2024-02-12,CBD-bound (treated),Pre,48149,25.960741448420663,0.0
2024-02-12,Manhattan control,Pre,34361,22.822320072175003,0.0
2024-02-13,CBD-bound (treated),Pre,37137,22.963993860570547,0.0
2024-02-13,Manhattan control,Pre,25228,21.449522356112315,0.0
2024-02-14,CBD-bound (treated),Pre,66797,24.57876177073828,0.0
2024-02-14,Manhattan control,Pre,44985,22.804735133933654,0.0
2024-02-15,CBD-bound (treated),Pre,68347,24.5207707726748,0.0
2024-02-15,Manhattan control,Pre,43432,23.086974120464316,0.0
2024-02-16,CBD-bound (treated),Pre,58153,25.742105480370853,0.0
2024-02-16,Manhattan control,Pre,37107,23.13156574231289,0.0
2024-02-17,CBD-bound (treated),Pre,64751,22.627945205479534,0.0
2024-02-17,Manhattan control,Pre,31307,22.128369374261464,0.0
2024-02-18,CBD-bound (treated),Pre,55232,22.89714133111252,0.0
2024-02-18,Manhattan control,Pre,27286,23.447387671333427,0.0
2024-02-19,CBD-bound (treated),Pre,41046,25.88115139112228,0.0
2024-02-19,Manhattan control,Pre,24896,24.334340857969305,0.0
2024-02-20,CBD-bound (treated),Pre,53104,25.646144546550232,0.0
2024-02-20,Manhattan control,Pre,34095,23.992153394926063,0.0
2024-02-21,CBD-bound (treated),Pre,56800,24.86047288732398,0.0
2024-02-21,Manhattan control,Pre,36799,23.025544987635698,0.0
2024-02-22,CBD-bound (treated),Pre,63974,25.116623628349167,0.0
2024-02-22,Manhattan control,Pre,40098,23.459918449798177,0.0
2024-02-23,CBD-bound (treated),Pre,55913,24.538904011589487,0.0
2024-02-23,Manhattan control,Pre,35500,23.30028225352121,0.0
2024-02-24,CBD-bound (treated),Pre,70463,22.296878503611953,0.0
2024-02-24,Manhattan control,Pre,35951,22.77241578815612,0.0
2024-02-25,CBD-bound (treated),Pre,52454,23.591501506081787,0.0
2024-02-25,Manhattan control,Pre,30832,23.90858134405821,0.0
2024-02-26,CBD-bound (treated),Pre,43713,28.0355265024137,0.0
2024-02-26,Manhattan control,Pre,32463,23.874904044604765,0.0
2024-02-27,CBD-bound (treated),Pre,64609,24.77336733272456,0.0
2024-02-27,Manhattan control,Pre,43490,23.1569209013567,0.0
2024-02-28,CBD-bound (treated),Pre,61081,25.615557538350888,0.0
2024-02-28,Manhattan control,Pre,40836,23.699164952492993,0.0
2024-02-29,CBD-bound (treated),Pre,71038,24.793113122554185,0.0
2024-02-29,Manhattan control,Pre,45991,23.808799330303877,0.0
2024-03-01,CBD-bound (treated),Pre,62864,24.75474818656157,0.0
2024-03-01,Manhattan control,Pre,42662,23.0939580891661,0.0
2024-03-02,CBD-bound (treated),Pre,72610,23.26090331910213,0.0
2024-03-02,Manhattan control,Pre,39154,22.467085610665706,0.0
2024-03-03,CBD-bound (treated),Pre,54232,24.988624243988905,0.0
2024-03-03,Manhattan control,Pre,30719,24.012745532081247,0.0
2024-03-04,CBD-bound (treated),Pre,49239,26.855013911736737,0.0
2024-03-04,Manhattan control,Pre,34425,23.317479448075673,0.0
2024-03-05,CBD-bound (treated),Pre,61968,25.765612412858356,0.0
2024-03-05,Manhattan control,Pre,40596,23.304319637402795,0.0
2024-03-06,CBD-bound (treated),Pre,73632,25.079049190569517,0.0
2024-03-06,Manhattan control,Pre,47818,23.34520327073502,0.0
2024-03-07,CBD-bound (treated),Pre,65969,25.170819475814508,0.0
2024-03-07,Manhattan control,Pre,43946,23.564198561871567,0.0
2024-03-08,CBD-bound (treated),Pre,64366,24.98266258583729,0.0
2024-03-08,Manhattan control,Pre,42752,23.207542805015095,0.0
2024-03-09,CBD-bound (treated),Pre,84426,23.06524696183652,0.0
2024-03-09,Manhattan control,Pre,44092,22.243119840333996,0.0
2024-03-10,CBD-bound (treated),Pre,56936,24.934901117043808,0.0
2024-03-10,Manhattan control,Pre,33948,23.55431277247573,0.0
2024-03-11,CBD-bound (treated),Pre,51420,26.83834111240777,0.0
2024-03-11,Manhattan control,Pre,35822,23.25006308972148,0.0
2024-03-12,CBD-bound (treated),Pre,61264,26.717120331679276,0.0
2024-03-12,Manhattan control,Pre,39803,23.564026832148414,0.0
2024-03-13,CBD-bound (treated),Pre,66285,26.29784536471302,0.0
2024-03-13,Manhattan control,Pre,41763,23.63415008500359,0.0
2024-03-14,CBD-bound (treated),Pre,77045,26.294781750924837,0.0
2024-03-14,Manhattan control,Pre,46346,23.800281577698275,0.0
2024-03-15,CBD-bound (treated),Pre,72773,25.05668709548877,0.0
2024-03-15,Manhattan control,Pre,42549,23.529101976544847,0.0
2024-03-16,CBD-bound (treated),Pre,79662,23.44086540634192,0.0
2024-03-16,Manhattan control,Pre,38134,23.88048382021307,0.0
2024-03-17,CBD-bound (treated),Pre,56855,25.46606648491793,0.0
2024-03-17,Manhattan control,Pre,31923,24.924609529179804,0.0
2024-03-18,CBD-bound (treated),Pre,51509,27.27433943582689,0.0
2024-03-18,Manhattan control,Pre,32128,23.580770356075828,0.0
2024-03-19,CBD-bound (treated),Pre,62632,25.596747189934938,0.0
2024-03-19,Manhattan control,Pre,37765,23.57388799152665,0.0
2024-03-20,CBD-bound (treated),Pre,67546,25.098164510111708,0.0
2024-03-20,Manhattan control,Pre,39221,23.616676525330902,0.0
2024-03-21,CBD-bound (treated),Pre,75119,24.835527230128303,0.0
2024-03-21,Manhattan control,Pre,42257,23.746273990108296,0.0
2024-03-22,CBD-bound (treated),Pre,66280,25.087692667471423,0.0
2024-03-22,Manhattan control,Pre,37653,23.637479882081298,0.0
2024-03-23,CBD-bound (treated),Pre,75025,22.84269323558826,0.0
2024-03-23,Manhattan control,Pre,35431,22.95504671050783,0.0
2024-03-24,CBD-bound (treated),Pre,56779,25.06617816446235,0.0
2024-03-24,Manhattan control,Pre,31054,25.031617827011193,0.0
2024-03-25,CBD-bound (treated),Pre,50322,27.065638686856797,0.0
2024-03-25,Manhattan control,Pre,32099,24.236638836100965,0.0
2024-03-26,CBD-bound (treated),Pre,63409,25.658113517008665,0.0
2024-03-26,Manhattan control,Pre,37758,23.684535197839,0.0
2024-03-27,CBD-bound (treated),Pre,69855,25.74064376207868,0.0
2024-03-27,Manhattan control,Pre,39846,23.93080258997154,0.0
2024-03-28,CBD-bound (treated),Pre,75808,26.32831561312791,0.0
2024-03-28,Manhattan control,Pre,44522,24.58068595301212,0.0
2024-03-29,CBD-bound (treated),Pre,69457,24.80847790719452,0.0
2024-03-29,Manhattan control,Pre,37983,23.514774504383695,0.0
2024-03-30,CBD-bound (treated),Pre,68361,23.06790143502889,0.0
2024-03-30,Manhattan control,Pre,33123,23.2823424810556,0.0
2024-03-31,CBD-bound (treated),Pre,54659,24.01446550430868,0.0
2024-03-31,Manhattan control,Pre,30771,24.700993142894443,0.0
2024-04-01,CBD-bound (treated),Pre,49265,26.646271186440817,0.0
2024-04-01,Manhattan control,Pre,33500,23.909664179104546,0.0
2024-04-02,CBD-bound (treated),Pre,72787,26.125709123882185,0.0
2024-04-02,Manhattan control,Pre,47496,23.60063163213751,0.0
2024-04-03,CBD-bound (treated),Pre,78624,25.863200803825915,0.0
2024-04-03,Manhattan control,Pre,49494,23.49916878813607,0.0
2024-04-04,CBD-bound (treated),Pre,77765,25.877118755224227,0.0
2024-04-04,Manhattan control,Pre,46423,23.860637614975452,0.0
2024-04-05,CBD-bound (treated),Pre,75157,25.117009194087153,0.0
2024-04-05,Manhattan control,Pre,46163,23.06175941771569,0.0
2024-04-06,CBD-bound (treated),Pre,77469,23.80516051581933,0.0
2024-04-06,Manhattan control,Pre,41122,22.796839161519493,0.0
2024-04-07,CBD-bound (treated),Pre,57869,24.850225509340166,0.0
2024-04-07,Manhattan control,Pre,33528,24.25365932951579,0.0
2024-04-08,CBD-bound (treated),Pre,51210,26.751626830697276,0.0
2024-04-08,Manhattan control,Pre,34949,22.96233511688473,0.0
2024-04-09,CBD-bound (treated),Pre,65794,26.23112487460865,0.0
2024-04-09,Manhattan control,Pre,42553,24.032937748220004,0.0
2024-04-10,CBD-bound (treated),Pre,67069,25.355353441977822,0.0
2024-04-10,Manhattan control,Pre,42219,23.25310168407609,0.0
2024-04-11,CBD-bound (treated),Pre,80167,25.294258859630567,0.0
2024-04-11,Manhattan control,Pre,49002,23.73022978653947,0.0
