LocationID,Borough,Zone,ref_trips,frac_fee,in_crz
198,Queens,Ridgewood,1493,0.1346282652377763,False
199,Bronx,Rikers Island,2,1.0,False
200,Bronx,Riverdale/North Riverdale/Fieldston,252,0.09126984126984126,False
201,Queens,Rockaway Park,176,0.03977272727272727,False
202,Manhattan,Roosevelt Island,271,0.2029520295202952,False
203,Queens,Rosedale,365,0.005479452054794521,False
204,Staten Island,Rossville/Woodrow,0,0.0,False
205,Queens,Saint Albans,927,0.015102481121898598,False
206,Staten Island,Saint George/New Brighton,9,0.0,False
207,Queens,Saint Michaels Cemetery/Woodside,191,0.1099476439790576,False
208,Bronx,Schuylerville/Edgewater Park,360,0.05555555555555555,False
209,Manhattan,Seaport,6874,0.957666569682863,True
210,Brooklyn,Sheepshead Bay,600,0.018333333333333333,False
211,Manhattan,SoHo,32336,0.9853104898565067,True
212,Bronx,Soundview/Bruckner,600,0.11166666666666666,False
213,Bronx,Soundview/Castle Hill,896,0.06696428571428571,False
214,Staten Island,South Beach/Dongan Hills,38,0.10526315789473684,False
215,Queens,South Jamaica,1271,0.1007081038552321,False
216,Queens,South Ozone Park,2855,0.026619964973730297,False
217,Brooklyn,South Williamsburg,536,0.13992537313432835,False
218,Queens,Springfield Gardens North,694,0.008645533141210375,False
219,Queens,Springfield Gardens South,802,0.1172069825436409,False
220,Bronx,Spuyten Duyvil/Kingsbridge,450,0.10444444444444445,False
221,Staten Island,Stapleton,33,0.21212121212121213,False
222,Brooklyn,Starrett City,628,0.011146496815286623,False
223,Queens,Steinway,1634,0.1511627906976744,False
224,Manhattan,Stuy Town/Peter Cooper Village,7792,0.9842145790554415,True
225,Brooklyn,Stuyvesant Heights,2356,0.1494057724957555,False
226,Queens,Sunnyside,6103,0.2649516631165001,False
227,Brooklyn,Sunset Park East,511,0.08414872798434442,False
228,Brooklyn,Sunset Park West,1475,0.15796610169491526,False
229,Manhattan,Sutton Place/Turtle Bay North,56521,0.9814051414518498,True
230,Manhattan,Times Sq/Theatre District,114528,0.9725045403744063,True
231,Manhattan,TriBeCa/Civic Center,50716,0.9728093698241186,True
232,Manhattan,Two Bridges/Seward Park,8018,0.9444998752806186,True
233,Manhattan,UN/Turtle Bay South,38497,0.9776605969296309,True
234,Manhattan,Union Sq,102636,0.9855606220039752,True
235,Bronx,University Heights/Morris Heights,669,0.07025411061285501,False
236,Manhattan,Upper East Side North,148093,0.31482919516790125,False
237,Manhattan,Upper East Side South,157292,0.5093711059685172,False
238,Manhattan,Upper West Side North,68741,0.24441017733230533,False
239,Manhattan,Upper West Side South,93951,0.33185383870315377,False
240,Bronx,Van Cortlandt Park,68,0.11764705882352941,False
241,Bronx,Van Cortlandt Village,462,0.07575757575757576,False
242,Bronx,Van Nest/Morris Park,519,0.04431599229287091,False
243,Manhattan,Washington Heights North,2018,0.23290386521308226,False
244,Manhattan,Washington Heights South,5452,0.24816581071166544,False
245,Staten Island,West Brighton,5,0.6,False
246,Manhattan,West Chelsea/Hudson Yards,66272,0.9720243843553839,True
247,Bronx,West Concourse,1279,0.08913213448006255,False
248,Bronx,West Farms/Bronx River,517,0.10444874274661509,False
249,Manhattan,West Village,86261,0.9866915523817252,True
250,Bronx,Westchester Village/Unionport,581,0.08089500860585198,False
251,Staten Island,Westerleigh,16,0.4375,False
252,Queens,Whitestone,247,0.05668016194331984,False
253,Queens,Willets Point,19,0.0,False
254,Bronx,Williamsbridge/Olinville,766,0.030026109660574413,False
255,Brooklyn,Williamsburg (North Side),4681,0.3527024140140996,False
256,Brooklyn,Williamsburg (South Side),3850,0.3953246753246753,False
257,Brooklyn,Windsor Terrace,405,0.20987654320987653,False
258,Queens,Woodhaven,1030,0.04854368932038835,False
259,Bronx,Woodlawn/Wakefield,451,0.04212860310421286,False
260,Queens,Woodside,2426,0.17106347897774113,False
261,Manhattan,World Trade Center,16089,0.9547516937037728,True
262,Manhattan,Yorkville East,49558,0.3452116711731708,False
263,Manhattan,Yorkville West,66926,0.3157367839105878,False
264,Unknown,N/A,7470,0.6053547523427042,False
265,N/A,Outside of NYC,1165,0.054935622317596564,False
