LocationID,Zone,Borough,in_crz,lon,lat,trips_per_day_pre,trips_per_day_post,pct_change
1,Newark Airport,EWR,False,-74.17400156582248,40.69183016020959,15.010840108401084,15.403326403326403,2.614685734382438
2,Jamaica Bay,Queens,False,-73.83129979354713,40.61674619937379,1.0943396226415094,1.1428571428571428,4.4334975369458185
3,Allerton/Pelham Gardens,Bronx,False,-73.8474217852696,40.86447372906584,4.889807162534435,13.679166666666667,179.74859154929578
4,Alphabet City,Manhattan,True,-73.97696827424141,40.72375208451233,192.1891891891892,451.57172557172555,134.96208474411256
5,Arden Heights,Staten Island,False,-74.18848459794721,40.55265878064343,1.0,1.0344827586206897,3.4482758620689724
6,Arrochar/Fort Wadsworth,Staten Island,False,-74.07177024696533,40.600324409468406,1.8253968253968254,3.144396551724138,72.25824587706147
7,Astoria,Queens,False,-73.91969433569462,40.761492617043125,111.01891891891891,285.8960498960499,157.52011700352622
8,Astoria Park,Queens,False,-73.92308626324494,40.77855862576789,1.4545454545454546,2.1714285714285713,49.28571428571426
9,Auburndale,Queens,False,-73.78794875477833,40.75103435668664,2.794392523364486,5.886315789473684,110.64742122865692
10,Baisley Park,Queens,False,-73.79098676199028,40.67895308442328,40.445945945945944,63.41580041580042,56.79148783057906
11,Bath Beach,Brooklyn,False,-74.00748784386448,40.60427268170344,3.800578034682081,10.033333333333333,163.99493029150824
12,Battery Park,Manhattan,True,-74.01556349991374,40.70294582144012,45.99189189189189,41.33541666666667,-10.124556815733277
13,Battery Park City,Manhattan,True,-74.01607927269924,40.712037924667264,685.1648648648649,812.2661122661123,18.55046192806684
14,Bay Ridge,Brooklyn,False,-74.0298925099,40.624833672298685,18.786486486486485,59.38669438669439,216.11389617431917
15,Bay Terrace/Fort Totten,Queens,False,-73.78597285841018,40.7833330046879,2.5451612903225804,5.439330543933054,113.7126069225915
16,Bayside,Queens,False,-73.77342112932584,40.762737532164934,3.652173913043478,10.663179916317992,191.96802151823076
17,Bedford,Brooklyn,False,-73.94990480444068,40.69150702161197,38.964864864864865,134.83783783783784,246.04980231670942
18,Bedford Park,Bronx,False,-73.89018381164814,40.86768222238494,8.048780487804878,30.072765072765073,273.6313236313236
19,Bellerose,Queens,False,-73.72665540152784,40.73548651046706,4.922865013774104,13.55093555093555,175.26522691603833
20,Belmont,Bronx,False,-73.88586744911127,40.85777944056285,5.493150684931507,16.367983367983367,197.97076954184183
21,Bensonhurst East,Brooklyn,False,-73.98353783537917,40.60142907301775,6.673972602739726,18.781704781704782,181.41716934820386
22,Bensonhurst West,Brooklyn,False,-73.99525864587314,40.61221766982795,9.094850948509485,25.9002079002079,184.77880557737527
23,Bloomfield/Emerson Hill,Staten Island,False,-74.17088508711593,40.60644824321443,1.3643410852713178,1.7687074829931972,29.638218923933213
